,조사기관,조사의뢰,조사끝,표본크기,박원순,정몽준,무응답
0,(주)포커스컴퍼니,CBS 기독교방송 ,20140325,940.0,39.0,40.4,20.6
1,(주)글로벌리서치,김황식 예비 후보자 ,20140406,1000.0,49.3,43.3,7.4
2,한국갤럽조사연구소,김황식 서울시장 예비후보 ,20140430,1007.0,50.5,37.9,11.6
3,(주) 메트릭스코퍼레이션,매일경제,20140505,600.0,49.3,37.0,13.7
4,(주)포커스컴퍼니,CBS 기독교방송,20140505,684.0,44.6,28.9,26.5
5,중앙일보 조사연구팀,중앙일보,20140505,800.0,45.6,39.2,13.5
6,(주)밀워드브라운미디어리서치,조선일보,20140513,537.0,53.3,32.9,13.8
7,(주)현대리서치연구소,JTBC,20140412,1096.0,40.0,34.9,21.6
8,(주)현대리서치연구소,JTBC,20140512,1084.0,45.8,30.5,21.9
9,(주)코리아리서치센터,한국일보 ,20140514,704.0,52.9,32.5,13.6
10,중앙일보 조사연구팀,중앙일보,20140513,800.0,47.4,37.7,14.5
11,(주)리서치앤리서치,동아일보,20140513,702.0,48.4,34.9,13.7
12,(주)현대리서치연구소,JTBC,20140517,1181.0,44.8,31.7,22.6
13,리얼미터,MBN,20140517,637.0,50.7,41.0,7.8
14,(주)밀워드브라운미디어리서치,KBS/MBC/SBS,20140519,1014.0,51.0,35.4,12.1
15,(주)한국리서치,"내일신문, 서강대학교 현대정치연구소",20140520,501.0,46.5,28.0,1.2
16,중앙일보 조사연구팀,중앙일보,20140521,800.0,53.5,34.4,11.9
17,조원씨앤아이,일요신문 ,20140523,975.0,50.0,44.9,4.2
18,마크로밀엠브레인,YTN,20140524,738.0,44.3,29.9,24.7
19,주식회사 아이디인큐(오픈서베이),JTBC,20140523,1278.0,47.5,28.4,22.9
20,(주) 메트릭스코퍼레이션,매일경제,20140525,600.0,50.6,31.2,17.1
21,(주)포커스컴퍼니,CBS 기독교방송,20140526,1000.0,39.0,29.0,29.7
22,(주)리서치앤리서치,동아일보,20140527,1003.0,50.5,39.6,9.0
23,에이스리서치,서울신문,20140526,600.0,45.5,32.7,20.5
24,(주)코리아리서치센터,한국일보,20140527,704.0,53.1,35.3,11.1
25,(주)리서치앤리서치,MBC/SBS,20140528,802.0,48.7,34.9,18.0
26,(주)한국리서치,한국경제,20140528,1000.0,52.4,34.7,11.5
27,(주)밀워드브라운미디어리서치,조선일보,20140528,511.0,50.8,32.0,16.7
28,(주)글로벌리서치,국민일보,20140528,559.0,44.1,33.4,21.8
29,주식회사 아이디인큐(오픈서베이),JTBC,20140528,1283.0,47.8,30.6,20.5
30,리서치뷰,"인터넷신문 뷰앤폴, 인터넷방송 팩트TV",20140528,1139.0,47.6,49.5,1.8
